Words,Frequency
battlehewouldseemtodespiseusandtherewouldbelessprobabilityof,1
responding,1
challenge,2
access,2
tendering,1
movement,2
felling,1
yusays,1
everymansendsoutscoutstoclimbhighplacesandobservethe,1
ifascoutseesthatthetreesofaforestaremovingandshakinghe,1
screens,3
wants,1
suspicious,1
borrowed,1
sheds,1
vegetation,2
thesehidingplacesinordertomakeussuspectanambushitappearsthat,1
knotted,1
retreating,6
intheir,1
ambuscade,4
upwards,1
startled,1
indicatethat,1
vancingwhenthedustislowbutspreadoverawideareaitbetokensthe,1
infantry,1
peak,1
phenomenon,2
thathorsesandchariotsbeingheavierthanmenraisemoredustandalso,1
wheeltrack,1
bemarchinginranksmanyabreast,1
accordingtochangyueveryarmy,1
onthemarchmusthavescoutssomewayinadvancewhoonsightingdust,1
gallop,1
commanderin,1
badenpowell,1
looking,1
afar,1
glitter,1
whenitbranchesoutindifferentdirectionsitshowsthatpartieshavebeen,1
fro,1
signify,1
apportioning,1
defenses,2
cantonment,1
horse,4
survey,1
ascertain,3
strongpointsallalongitscircumference,1
hencethesmallquantityofdust,1
motion,3
humblewordsandincreasedpreparationsaresignsthattheenemyisabout,1
stood,2
contemptuous,1
changyualludestothestoryoftientanofthechimoagainsttheyen,1
chieh,3
tan,6
openly,2
noses,1
prisoners,3
undoing,1
thisspeechatonceactedonthesuggestionbutthosewithinthecitywere,1
enragedatseeingtheirfellowcountrymenthusmutilatedandfearingonly,1
lest,4
nerved,1
selvesmoreobstinatelythanever,1
onceagaintientansentbackconver,1
reported,1
dread,1
dig,1
ancestral,1
tombs,1
outside,1
indignity,1
forefathers,1
faint,2
hearted,1
forthwith,2
besiegers,1
dug,1
graves,1
corpses,1
lying,2
inhabitants,4
chimo,3
witnessing,1
ragefromthecitywallsweptpassionatelyandwereallimpatienttogoout,1
fury,1
increased,1
tenfold,1
enterprise,1
instead,3
sword,3
mattock,1
warriors,3
wives,2
cubines,1
hethenservedoutalltheremainingrationsandbadehismeneat,1
ll,1
manned,1
weaker,1
envoysweredispatchedtotheenemyscamptoarrangetermsofsurrender,1
shouting,2
silver,3
wealthy,1
citizens,1
send,1
prayer,2
capitulatedhewouldallowtheirhomestobeplunderedortheirwomento,1
maltreated,1
humor,2
granted,1
increasingly,1
slack,1
meanwhile,2
oxen,4
decked,1
pieces,1
silk,2
painted,1
bodies,2
dragonlike,1
colored,1
stripes,1
fastened,2
blades,1
wellgreased,1
tails,1
lighted,1
ends,2
drove,1
numberofholeswhichhehadpiercedinthewallsbackingthemupwitha,1
maddened,1
pain,1
furiously,1
caused,2
anddismayfortheirtailsactedastorchesshowingupthehideouspattern,1
wounded,1
contact,1
meantime,1
band,1
crept,2
gags,1
mouths,2
atthesamemomentafrightfuldinaroseinthecityitselfallthose,1
thatremainedbehindmakingasmuchnoiseaspossiblebybangingdrums,1
hammering,1
bronze,1
vessels,2
convulsed,1
bytheuproar,1
terrorstrickentheyenarmyedindisorderhotlypursued,1
slaying,1
ultimate,1
recovery,1
violent,3
driving,3
whenthelightchariotscomeoutrstandtakeupapositiononthewings,1
proposals,1
unaccompanied,1
sworn,1
covenant,1
plot,1
thereadinghereisuncertain,1
lichuanindicatesatreatyconrmedby,1
oaths,1
hostages,2
afrivolous,1
pretext,1
running,3
hastening,1
regimental,1
ban,1
ner,1
andthesoldiersfallintorankitmeansthatthecriticalmomenthascome,1
leaning,1
ifthosewhoaresenttodrawwaterbeginbydrinkingthemselvesthearmy,1
suffering,2
thirst,2
behavior,1
iftheenemyseesanadvantagetobegainedandmakesnoefforttosecure,1
gather,3
unoccupied,1
abandoned,2
clamor,1
betokens,1
nervousness,2
disturbance,1
shifted,1
sedition,1
afoot,1
weary,1
tumuunderstandsthesentencedifferently,1
ifalltheofcersofanarmy,1
fatigue,2
whichhe,1
demanded,1
feeds,1
kills,1
fed,2
hang,3
showingthattheywillnotreturntotheirtentsyoumayknowthattheyare,1
yun,1
tsang,1
againsthim,1
thelatterpressedforhastymeasuresbutsungturnedadeaf,1
ear,2
rebels,6
worn,1
totheattackbutchosaid,1
itisaprincipleofwarnottopursuedesperate,1
hostwithdisciplinedtroopsiamfallingonadisorganizedmultitudenota,1
bandofdesperatemen,1
thereuponheadvancestotheattackunsupported,1
routedthe,1
whispering,1
knots,1
dued,1
tones,1
disaffection,1
le,2
toofrequentrewardssignifythattheenemyisattheendofhisresources,1
mutiny,2
lavish,1
relaxed,1
unwonted,1
severity,2
duty,2
bluster,1
fright,2
intelligence,3
taochen,1
tyran,1
nical,1
terror,2
thiswouldconnectthesentencewithwhatwentbeforeaboutrewardsand,1
envoys,1
compliments,1
truce,1
iftheenemyopenfriendlyrelationsbesendinghostagesit,1
isasignthattheyareanxiousforanarmisticeeitherbecausetheirstrength,1
angrily,1
joining,2
situ,1
demandsgreat,1
vigilance,1
circumspection,1
ank,2
amply,1
suf,1
cient,1
thatno,1
literallynomartialadvancethatistosaychengtacticsandfrontal,1
eschewed,1
resorted,1
squeezingverygoodsenseoutofit,1
ifollowlichuanwhoappearstoof,1
fer,1
simplest,1
gets,1
expound,1
lucidity,1
opening,2
presents,2
sustained,1
additional,1
recruits,1
sutlers,1
campfollowers,1
contrive,3
borrowingforeignsoldierstohelpushethenquotesfromweiliaotzu,1
nominal,1
mercenary,1
exercises,1
chenhao,1
fromthetso,1
beesandscorpions,1
puny,1
treatedwith,1
contempt,2
notprovesubmissiveandunlesssubmissivethenwillbepracticallyuse,1
meansof,1
iron,2
endeared,1
martial,1
prowess,3
ideal,2
unites,1
culture,1
tem,1
pertheprofessionofarmsrequiresacombinationofhardnessandtender,1
ness,2
habitually,1
welldisciplined,1
notits,1
insists,1
ageneraloughtintimeofpeacetoshowkindlycondence,1
respected,2
trust,2
howeverwouldleadonerathertoexpectsomethinglikethis,1
ifageneral,1
mand,1
docile,1
pregnant,1
giving,3
try,7
rectify,1
minor,2
swayedbypettydoubtsvacillationandfussinessarethesurestmeansof,1
sapping,1
anarmy,1
comprising,1
deals,1
discussed,1
string,1
desultory,1
distinguish,1
kinds,4
wit,1
plentifullyprovidedwithroadsandmeansofcom,1
munications,1
entangling,2
thesamecommentatorsays,1
netlikecountryventuringintowhichyou,1
entangled,1
temporizing,2
allows,2
tostave,1
precipitous,1
faultiness,1
classication,2
strangelackoflogicalperceptionisshowninthechinamansunquestion,1
traversed,1
ible,1
withregardtogroundofthisnaturebebeforetheenemyinoccupyingthe,1
thegeneralmeaningofthelastphraseisdoubtlesslyastuyusaysnot,1
dictum,1
communicationswe,1
skirt,1
edge,1
human,3
duelist,1
menacing,1
astray,1
pelled,1
conform,2
warding,1
thrusts,1
threatened,1
fortunate,1
change,3
detachments,1
entail,2
surrender,2
reoccupy,1
tangling,1
sally,2
inconvenient,1
deadlock,1
inapositionofthissorteventhoughtheenemyshouldofferusanattract,1
backs,2
lures,1
whichmight,1
quit,1
advisable,1
stir,1
withregard,1
narrowpasses,1
ifyou,1
rstlet,1
garrisoned,3
advent,1
initiative,3
mercy,1
pensees,1
er,1
forestall,1
weakly,1
withregardtoprecipitousheightsifyouarebeforehandwithyour,1
securing,1
les,1
actions,2
dictated,1
enunciationofthegrandprinciplealludedtoseeviss,1
changyutells,1
thefollowinganecdoteofpeihsingchienadwhowassent,1
onapunitiveexpeditionagainsttheturkictribes,1
atnighthepitchedhis,1
ditchwhensuddenlyhegaveordersthatthearmyshouldshiftitsquarters,1
toahillnearby,1
thiswashighlydispleasingtohisofcerswhoprotested,1
loudly,1
extra,1
hsing,1
paid,2
heed,1
remonstrances,1
campmovedasquicklyaspossible,1
thesamenightaterricstormcame,1
ooded,1
twelve,1
recalcitrant,1
amazed,1
owned,1
happen,1
hsingchien,1
asking,2
advantageousnotonlyforghtingbutalsobecausetheyareimmunefrom,1
oods,1
iftheenemyhasoccupiedthembeforeyoudonotfollowhimbutretreat,1
shihmins,1
tou,3
chiente,2
shihchung,1
seizure,1
wulao,1
spike,1
persisted,1
ally,3
loyang,1
prisoner,1
undertaking,1
wearisome,1
yourdisadvantage,1
responsible,3
nowanarmyisexposedtosixseveralcalamitiesnotarisingfromnatural,1
forwhich,1
flight,2
insubordination,2
disorganization,2
hurled,2
size,1
tumucitestheunhappycaseoftienpuhsintangshuch,1
whowassenttoweiinadwithorderstoleadanarmyagainstwang,1
tingtsou,1
outed,1
riding,1
stop,3
passedhemadeanattempttoengagetheenemyhistroopsturnedtailand,1
dispersed,1
unfortunate,3
committed,1
suicide,1
energetic,1
insubordinate,1
resentment,1
wanghsisnoteis,1
thismeansthegeneralisangrywithoutcauseand,1
atthesametimedoesnotappreciatetheabilityofhissubordinateofcers,1
thushearouseserceresentmentandbringsanavalancheofruinuponhis,1
moves,2
madewithoutvacillationthesoldierswillnotbeintwomindsaboutdoing,1
theirdutygeneralbadenpowellsaysitalicizingthewords,1
thesecret,1
nutshellin,1
receivecf,1
themostfataldefectinamilitaryleaderisdifferencetheworstcalamities,1
befall,1
arisefrom,1
hesitation,1
xes,1
duties,2
routine,1
slovenly,1
manner,1
utter,2
larger,2
hurls,1
neglects,1
changyuparaphrasesthelatterpartofthesentenceandcontinues,1
thereisghtingtobedonethekeenestspiritsshouldbeappointedtoserve,1
inthefrontranksbothinordertostrengthentheresolutionofourownmen,1
demoralize,1
primi,1
ordines,1
bello,1
gallico,1
et,1
al,5
courting,1
weather,3
season,3
butapowerofestimatingtheadversaryofcontrollingtheforcesofvictory,1
andofshrewdlycalculatingdifcultiesdangersanddistancesconstitutes,1
prac,1
ticewillwinhisbattles,1
hewhoknowsthemnotnorpracticesthemwill,1
ifghting,1
issure,1
toresult,1
invictory,1
thenyou,1
mustght,1
eventhough,1
rulerforbiditifghtingwillnotresultinvictorythenyoumustnotght,1
bidding,2
xii,2
n,1
shihkung,2
havebeenthepatronofchangliangandtohavewrittenthesanlueh,1
hasthesewordsattributedtohim,1
theresponsibilityofsettinganarmyin,1
devolve,1
trolledfromthepalacebrilliantresultswillhardlybeachieved,1
hencethe,1
godlike,1
enlightened,3
monarch,1
partinfurtheringtheircountryscauselitkneeldowntopushthechariot,1
wheelthismeansthatinmatterslyingoutsidethezenanathedecision,1
absolute,2
decrees,1
penetrate,3
coveting,1
disgrace,1
hardest,1
jewel,1
anoblepresentimentinfewwordsofthechinesehappywarriorsuch,1
amansayshoshihevenifhehadtosufferpunishmentwouldnotregret,1
deepest,1
beloved,1
sons,2
iss,1
inthisconnectiontumudrawsforusanengagingpictureof,1
thefamousgeneralwuchifromwhosetreatiseonwarihavefrequently,1
wore,1
clothes,1
ate,1
meanest,1
mat,1
sleep,1
surplus,1
rations,1
wrapped,1
parcel,1
hardship,1
abscess,1
sucked,1
virus,1
mother,2
wailing,1
lamenting,1
somebody,1
cry,1
thecommanderinchiefhimselfhassuckedthepoisonfromhissore,1
womanrepliedmanyyearsagolordwuperformedasimilarservicefor,1
husband,1
thehandsoftheenemy,1
andnowthathehasdonethesameformysonhe,1
toowillfallghtingiknownotwherelichuanmentionstheviscount,1
ofchuwhoinvadedthesmallstateofhsiaoduringthewinter,1
theduke,1
ofshensaidtohim,1
manyofthesoldiersaresufferingseverelyfromthe,1
coldsohemadearoundofthewholearmycomfortingandencouraging,1
themenandstraightwaytheyfeltasiftheywereclothedingarmentslined,1
oss,1
indulgent,1
kindheartedbutunabletoenforceyourcommandsandincapablemoreover,1
ofquellingdisorder,1
thenyoursoldiersmustbelikenedtospoiltchildren,1
recalls,1
stern,2
oc,1
cupying,1
chiangling,1
stringent,1
molest,1
serving,1
banner,2
fellowtownsman,1
bamboo,2
hat,1
belonging,1
wear,1
regulation,1
helmet,1
protection,1
rain,3
junan,1
palliate,1
tears,3
armywithwholesomeaweandfromthattimeforthevenarticlesdropped,1
highway,1
ifwe,1
knowthatour,1
ownmenare,1
inacondition,1
toattackbut,1
areunaware,1
halfway,3
impracticable,1
experienced,2
bewildered,1
reck,1
lessly,1
mis,1
ifyouknowtheenemyandknowyourselfyourvictory,1
thingsthe,1
affairsofmentheseasonsofheavenandthenaturaladvantagesofearth,1
crown,1
recognizes,1
varieties,5
dispersive,4
facile,6
contentious,5
intersecting,4
highways,5
chieftain,1
scatter,1
valor,1
harbors,1
whenhehaspenetratedintohostileterritorybuttonogreatdistanceitis,1
facility,1
theothercommentatorsgivesimilarexplanations,1
tumuremarks,1
yourarmyhascrossedtheborderyoushouldburnyourboatsandbridges,1
everybody,2
hankering,1
imports,1
contended,1
neck,1
instanced,1
thermopylae,1
gaining,1
invaluable,1
havetoghtintheratioofonetotenthereisnothingbetterthananarrow,1
turkestan,1
iho,1
laden,1
ang,1
administrator,1
liangchou,1
chienkingofchinplottedagainsthimandwasforbarringhiswayinto,1
governor,5
kaochang,1
counseled,1
lukuangisfreshfromhisvictoriesinthewestandhissoldiersarevig,1
orousandmettlesome,1
ifweopposehimintheshiftingsandsofthedesert,1
match,3
kaowu,1
prostrated,1
dictate,1
iwu,1
tzufang,1
himselfwouldbeexpendedinvainagainsttheenormousstrengthofthese,1
twopositionslianghsirefusingtoactonthisadvicewasoverwhelmed,1
liberty,1
interpretations,1
adjective,1
type,1
network,1
chessboard,1
communication,3
forms,1
key,2
contiguous,1
adjoining,1
conterminous,1
principality,1
bounded,1
west,5
thesouth,1
occupies,1
itrst,1
thebelligerentwhoholdsthisdominatingpositioncanconstrainmostof,1
intersectinghighways,1
leaving,2
citiesin,1
reached,4
situationis,1
ruggedsteepsmarshesandfensallcountrythatishardtotraverse,1
thisis,1
tortuous,1
paths,2
sufce,1
bodyof,1
groundonwhichwecanonlybesavedfromdestructionbyghtingwithout,1
thesituationaspicturedbytsaokungisverysimilartothehemmed,1
ingroundexceptthathereescapeisnolongerpossible,1
aloftymountain,1
blocked,1
sitting,1
leaking,1
crouching,1
burning,2
description,3
entrapped,2
fatalsnareandisattheenemysmercy,1
aravineontheleftamountainon,1
pathway,1
roped,1
slings,1
choice,2
range,1
breathingspace,1
haven,1
vain,3
respite,1
crawl,1
sustain,1
wild,2
destitute,1
plants,1
necessaries,1
skill,3
unavailing,1
offense,1
ourselvesin,1
valiant,2
students,1
reminded,1
awful,1
sicilian,1
agony,1
athenians,1
nicias,1
demonsthenes,1
thucydides,1
halt,1
attacknot,1
energies,1
positionrst,1
sotsaokung,1
lichuanandothershoweversupposethe,1
forestalled,1
sot,1
madness,1
inquires,1
secured,1
theenemybewareofattackinghim,1
lurehimawaybypretendingtoee,1
drumsmake,1
dash,1
afford,2
losetrail,1
brushwood,1
dustconfound,1
eyesdetach,1
rescue,1
block,4
becausetheattemptwouldbefutileandwouldexposetheblockingforce,1
itselftoseriousrisks,1
therearetwointerpretationsavailablehere,1
ifollow,1
thatofchangyu,1
theotherisindicatedintsaokungsbriefnote,1
closer,1
togetherie,1
neighboring,4
onthislichuanhasthefollowingdeliciousnote,1
whenanarmypen,1
etrates,1
alienate,1
unjust,1
violation,1
wo,1
looting,1
valuables,2
nota,1
bene,1
wellcauseustoblushforthechristianarmiesthatenteredpekingin,1
hearts,1
worthy,3
feelings,1
outran,1
illusions,1
camped,1
furtherandnopossibilityofretreatoneoughttotakemeasuresforapro,1
tractedresistancebybringinginprovisionsfromallsidesandkeepaclose,1
groundresort,1
amplies,1
scheme,1
visedwhichwillsuitthecircumstancesandifwecansucceedindeluding,1
exactly,3
hannibal,2
moun,1
tains,1
casilinum,1
dictator,1
devised,1
bafe,1
foes,1
wasremarkablylikethatwhichtientanhadalsoemployedwithsuccess,1
bundlesof,1
twigswere,1
fastenedto,1
thehorns,1
ofsome,1
andset,1
retheterriedanimalsbeingthenquicklydrivenalongthemountainside,1
beset,1
lights,1
discomted,1
thattheywithdrewfromtheirpositionandhannibalsarmypassedsafely,1
polybius,1
xxii,1
cling,1
corner,1
drive,1
wedge,1
frontand,1
topreventcooperationbetweenhislargeandsmalldivisionstohinderthe,1
rescuing,1
rallying,1
connects,1
dislocating,1
push,1
cope,1
orderly,1
holds,2
dear,1
amenable,1
depending,1
complishment,1
ravage,1
cultivated,1
thwart,1
helpless,1
boldly,2
fare,1
truths,1
andthechiefbusinessofthegeneralthefollowinganecdotestoldbyho,1
ta,5
hsincheng,2
defection,1
correspondence,1
chuko,2
prime,2
wan,2
tas,1
treachery,4
anticipatehisrevolthavingpreviouslycajoledhimbyaspeciousmessage,1
friendly,1
ssumas,1
leagued,1
investigated,1
unprincipledmanandweoughttogoandpunishhimatoncewhileheis,1
stillwaveringandbeforehehasthrownoffthemaskthenbyaseriesof,1
previously,3
letter,2
news,4
revolt,1
reachesssumaihewillatonceinformhisimperialmasterbutitwillbe,1
awholemonthbeforeanystepscanbetakenandbythattimemycitywill,1
consternation,1
allegiance,1
citygates,1
miraculous,1
fortnight,1
kueichou,1
ssuchuan,1
chingchou,1
hupeh,1
ood,3
dreamt,1
venturetocomedownthroughthegorgesandconsequentlymadenopre,1
parations,1
embarked,1
implored,1
postpone,1
departure,1
navigation,1
portance,1
opportunities,1
startling,1
suddenness,1
thisisthegreatprincipleinwar,1
evenifhegetstoknowofourapproach,1
hurry,2
fruits,1
predicted,1
nobly,1
stipulating,1
spared,1
penalty,1
takeadvantageoftheenemysunreadinessmakeyourwaybyunexpected,1
routes,2
unguarded,1
solidarity,1
prevail,2
forays,1
fertile,1
venture,2
wellbeing,2
pet,1
andlook,1
anddonotovertaxthem,1
concentrateyourenergyandhoardyourstrength,1
chenrecallsthelineofactionadoptedinbcbythefamousgeneral,1
contributed,2
first,1
universal,1
declined,1
invitations,1
defens,1
chienkeptinsidehiswallsandwouldnotcomeoutbutdevotedhiswhole,1
sharing,1
meals,1
facilities,1
bathing,1
indulgence,1
weld,1
homogenous,1
timehadelapsedhetoldoffcertainpersonstondouthowthemenwere,1
amusingthemselves,1
theanswerwasthattheywerecontendingwithone,1
anotherinputtingtheweightandlongjumping,1
whenwangchienheard,1
athletic,1
pursuits,1
spir,1
repeating,1
eastwards,1
disgust,1
broke,4
ensued,1
slaughter,1
shortly,2
fuchu,1
continuallyon,1
link,1
gether,1
unfathomable,1
achieve,3
amok,1
marketplace,1
else,1
getour,1
wayi,1
shouldnot,1
allowthat,1
thisman,1
alonehad,1
courageand,1
contemptible,1
desperado,1
alike,1
uttermost,1
iftheyareinanawkwardplacetogethertheywillsurely,1
exert,1
strengthto,1
soldierswhenindesperatestraitslosethesenseoffear,1
ifthereisnoplace,1
ofrefugetheywillstandrm,1
iftheyareinhostilecountrytheywillshow,1
stubborn,1
isno,1
marshaled,1
qui,1
vive,1
restrictions,1
faithful,1
trusted,2
prohibitthetakingofomensanddoawaywithsuperstitiousdoubts,1
comesno,1
superstitious,1
saucy,1
doubts,2
fears,1
degenerate,1
deaths,1
spells,1
incantations,1
forbidden,1
inquire,1
fortunes,2
perturbed,1
scruples,1
discarded,1
falter,1
resolution,2
ifoursoldiersarenotoverburdenedwithmoneyitisnotbecausetheyhave,1
adistasteforrichesiftheirlivesarenotundulylongitisnotbecausethey,1
disinclined,1
longevity,1
wealth,2
inclination,2
burn,10
ingawayvaluablesandsacricetheirownlivesitisnotthattheydislike,1
slyly,1
insinuating,1
temptations,1
shirk,1
weep,1
thewordinthechineseissnivelthisistakentoindicatemoregenuine,1
grief,1
thosesittingupbedewingtheirgarmentsandthoselyingdownlettingthe,1
cheeks,1
embraced,1
rm,2
remember,1
heroesoftheiliadwereequallychildlikeinshowingtheiremotion,1
mournful,1
parting,1
ko,1
friends,1
chinafterwardsfirstemperorinbcthetearsofalloweddown,1
farewell,1
shrill,1
blast,1
chilly,1
champion,1
goingnot,1
andcontemporarywithsuntzuhimselfwhowasemployedbykungtzu,1
assassinate,2
dagger,3
secreted,1
belly,1
sh,1
banquet,1
hacked,1
pieced,1
bodyguard,1
hero,2
mo,1
performed,1
exploit,2
thrice,1
treaty,1
surrendering,1
slice,1
altar,1
steps,2
chest,1
dukes,1
retainers,1
dared,1
muscle,1
kueiproceededtodemandfullrestitutiondeclaringtheluwasbeingun,1
justlytreatedbecauseshewasasmallerandaweakerstate,1
huankungin,1
perilofhislifewasobligedtoconsentwhereupontsaokueiungaway,1
resumed,1
terried,1
assemblage,1
wanted,1
repudiate,1
bargain,1
coun,1
selor,1
impolicy,1
andtheupshotwasthatthisboldstrokeregainedforluthewholeofwhat,1
theskillfultacticianmaybelikenedtotheshuaijannowtheshuai,1
snake,1
biographical,1
dictionary,1
shuaijanmeanssuddenlyorrapidlyandthesnakeinquestionwas,1
canbe,1
imitate,1
shuaijan,2
swiftly,1
responsive,1
ishouldansweryes,1
forthemenofwuandthemenofyuehareenemies,1
caught,1
themeaningis,1
iftwoenemieswillhelpeachotherinatimeofcommon,1
tie,1
fellowfeeling,1
notori,1
ous,1
ruined,1
cooperation,2
allied,1
henceitisnotenoughtoputonestrustinthetetheringofhorsesandthe,1
burying,1
quaint,1
recall,1
athenian,1
sophanes,1
anchor,1
plataea,1
rmly,1
herodotus,1
mechanical,1
tenacity,1
sym,1
pathetic,1
manage,3
organic,1
resolutionandspiritofitscomponentpartsmustbeofthesamequalityor,1
wellingtons,1
seemingly,1
ungrateful,1
commanded,1
particularunity,1
foreseen,1
belgian,1
defections,1
lostthe,1
howtomakethebestofbothstrongandweakthatisaquestioninvolving,1
yaochens,1
eliminate,1
differences,1
serviceable,2
accidental,1
fea,1
tures,1
reliable,1
posted,3
vantageofpositionneutralizestheinferiorityinstaminaandcourage,1
sufcient,2
selection,1
immense,2
rived,1
utilization,1
thustheskillfulgeneralconductshisarmyjustasthoughhewereleading,1
willynillyby,1
business,5
upright,1
mystify,2
pearances,1
deceive,4
totalignorance,1
tsaokunggivesusoneofhisexcellentapophthegms,1
thetroopsmust,1
share,1
rejoice,1
outcome,1
mislead,1
fre,1
quently,1
processthe,1
mystication,1
overemphatic,1
walljacksonsvalleycampaign,1
theinnitepainshesayswithwhich,1
sought,2
staff,1
thoughts,2
thorough,1
pronounced,1
uselessetc,1
etcin,1
khotan,2
asian,1
ject,1
yarkand,4
kutcha,3
dispatching,1
doms,1
wensu,2
kumo,1
weitou,1
totaling,1
summonedhisofcersandalsothekingofkhotantoacouncilofwarand,1
outnumbered,1
disperse,1
adifferentdirection,1
thekingofkhotanwillmarchawaybytheeasterly,1
alive,2
rode,1
eastward,1
der,1
intercept,1
cockcrow,1
panicstricken,1
trophies,2
capitulating,1
kingdoms,2
respective,1
prestige,1
thiscaseweseethatthechinesegeneralnotonlykepthisownofcersin,1
bold,1
step,3
theenemy,2
altering,1
changing,1
thismeans,1
withoutdenite,1
quotation,2
isbasedondeceptiondoesnotapplyonlytodeceptionoftheenemy,1
shifting,1
anticipating,1
atthecriticalmomenttheleaderofanarmyactslikeonewhohasclimbed,1
upaheightandthenkicksawaytheladderbehindhim,1
hecarrieshismen,1
territorybefore,1
literallyreleasesthespringseevss,1
thatistakessomedecisive,1
returnlike,1
sunk,2
burns,1
breaks,2
shepherd,1
ock,1
sheep,1
drives,1
whither,1
cognizant,1
ulterior,1
muster,1
dangerthis,1
termed,1
busi,1
suntzumeansthataftermobilizationthereshouldbenodelayinaiming,1
returns,1
thewarringstatesofancientchinadesertionwasnodoubt,1
amuchmorepresentfearandseriousevilthanitisinthearmiesoftoday,1
onemustnotbehideboundininterpretingtherulesfor,1
aggressive,1
lawsofhumannature,1
thesearethingsthatmustmostcertainlybestudied,1
penetrating,1
deeplybringscohesionpenetratingbutashortwaymeansdispersion,1
curiously,2
distant,1
thecommentatorsispreciselywhatisnotmeanthere,1
advanced,1
enoughtohometobedispersivebutsomethingbetweenthetwowang,1
hsisays,1
itisgroundseparatedfromhomebyaninterjacentstatewhose,1
incumbent,1
settle,1
rareoccurrencewhichisthereasonwhyitisnotincludedamongthenine,1
whenyoupenetratedeeplyintoacountryitisseriousground,1
whenyou,1
wayit,1
strongholds,1
fensive,1
avoiding,1
astumusaystheobjectistoguardagainsttwopossiblecontingencies,1
desertion,1
continuity,1
adopts,1
straggle,1
offers,2
supposing,1
coveted,1
select,1
warns,1
vaguely,1
expressed,1
beatthe,1
vigilant,1
iwould,1
consolidate,1
continuous,1
thecommentatorstakethisasreferringtoforageandplundernotasone,1
unbrokencommunication,1
base,1
wouldkeep,1
pushing,1
groundi,1
whereasmyrealintentionistoburstsuddenlythroughtheenemyslines,1
inordertomakemysoldiersghtwithdesperation,1
pointsoutthatthisistheconverseofviiss,1
whereitistheenemywho,1
issurrounded,1
inadkaohuanafterwardsemperorandcanonized,1
shenwu,2
erh,1
consisting,3
foot,3
investment,1
gaps,1
shift,1
outlets,1
donkeysropedtogether,1
assoonashisofcersandmensawthattherewas,1
spirits,2
exaltation,1
charged,1
ferocity,1
crumbled,1
ondesperategroundiwouldproclaimtomysoldiersthehopelessnessof,1
saving,1
choke,1
cookingstoves,1
plain,1
survive,2
concludes,3
grounds,5
andthevariationscorrespondingtothem,1
reviewingthepassageswhich,1
bearonthisimportantsubjectwecannotfailtobestruckbythedesultory,1
unmethodical,1
abruptly,1
touching,1
withintheearlierportionofchap,1
ixandthenchap,1
xsetsforthsixnew,1
par,1
denitions,1
tenth,1
viiiandnallytheninevariationsareenumeratedoncemorefrom,1
suggestive,1
prominence,1
abnormally,1
lists,1
corresponding,2
disproportionate,1
propose,1
conclusion,1
tain,1
obstinate,1
sur,1
rounded,1
promptly,1
shanshan,3
politeness,1
havior,1
underwent,1
remiss,1
negligent,1
spoke,1
suite,2
ticed,1
kuangs,1
polite,1
wane,1
signifythatenvoyshavecomefromthenorthernbarbariansandthatcon,1
sequently,1
indecision,1
lot,1
perceive,1
thenthosethatarealreadymanifest,1
thereuponhecalledoneofthenat,1
ives,1
wherearethoseenvoysfromthehsiungnuwhoarrivedsomedayago,1
aback,1
blurted,1
informant,1
lock,1
gathering,1
thirtysixinallandbegandrinkingwiththem,1
whenthewinehadmoun,1
addressing,1
gentlemen,2
regionanxioustoachieverichesandhonorbysomegreatexploit,1
nowit,1
ambassador,1
hsiungno,2
onlyafewdaysagoandtheresultisthattherespectfulcourtesyextended,1
royal,1
disappeared,1
envoy,4
bones,1
wolves,1
desert,1
sequel,1
adventure,1
alliance,1
quaintedwiththeirdesigns,1
wearenotttoleadanarmyonthemarchun,1
lesswearefamiliarwiththefaceofthecountryitsmountainsandforests,1
toaccount,1
sentences,1
phasize,1
antecedent,1
lowingwords,1
withregardtolocalguidessuntzumighthaveaddedthat,1
somemisunderstandingsuchaslivyrecordsxxii,1
hannibalweare,1
toldorderedaguidetoleadhimintotheneighborhoodofcasinumwhere,1
carthaginian,1
accent,1
unsuited,1
pronunciation,1
standcasilinuminsteadofcasinumandturningfromhisproperroutehe,1
tookthearmyinthatdirectionthemistakenotbeingdiscovereduntilthey,1
bet,1
concentration,1
overawes,1
meitaochenconstructsoneofthechainsofreasoningthataresomuch,1
superi,1
ority,1
overawe,2
frightened,1
frightenedtheenemysallieswillbepreventedfromjoiningherthefol,1
lowinggivesastrongermeaning,1
ifthegreatstatehasoncebeendefeated,1
summon,1
massing,1
extent,2
dispenseswiththisandwithoverweeningcondenceinhisownstrength,1
simplytriestointimidatetheenemyhewillsurelybedefeatedchangyu,1
discontented,1
refuse,1
strive,1
foster,1
carries,2
antagonists,1
inawe,1
reject,1
alliancesandsimplypursuehisownsecretdesignshisprestigeenablehim,1
dispense,1
friendships,1
capturetheir,1
thisparagraphthoughwrittenmanyyearsbeforethechinstatebecame,1
aseriousmenaceisnotabadsummaryofthepolicybywhichthefamous,1
chancellors,1
gradually,1
paved,1
coldblooded,1
selshness,1
haughty,1
isolation,1
bestow,1
richly,1
heavily,1
sighting,1
servingdeedstsaokungsparaphrase,1
thenalinstructionsyougive,1
correspond,1
simplies,1
andyouwillbeabletohandleawholearmyasthoughyouhadtodowith,1
deed,1
reasons,2
lordmanseldoncetoldajuniorcolleaguetogivenoreasonsfor,1
decisions,1
maxim,1
applicable,1
